"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","11-01","479","572","386"
"USW00094823","11-02","476","568","384"
"USW00094823","11-03","473","565","381"
"USW00094823","11-04","470","561","379"
"USW00094823","11-05","467","557","376"
"USW00094823","11-06","464","553","374"
"USW00094823","11-07","460","549","372"
"USW00094823","11-08","457","545","369"
"USW00094823","11-09","454","541","367"
"USW00094823","11-10","451","537","364"
"USW00094823","11-11","447","533","361"
"USW00094823","11-12","444","529","359"
"USW00094823","11-13","440","524","356"
"USW00094823","11-14","437","520","353"
"USW00094823","11-15","433","516","350"
"USW00094823","11-16","429","511","347"
"USW00094823","11-17","426","507","344"
"USW00094823","11-18","422","502","341"
"USW00094823","11-19","418","498","338"
"USW00094823","11-20","414","493","335"
"USW00094823","11-21","410","488","332"
"USW00094823","11-22","406","484","329"
"USW00094823","11-23","402","479","326"
"USW00094823","11-24","399","475","322"
"USW00094823","11-25","395","470","319"
"USW00094823","11-26","391","466","316"
"USW00094823","11-27","387","461","312"
"USW00094823","11-28","383","457","309"
"USW00094823","11-29","379","452","305"
"USW00094823","11-30","375","448","302"
