"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","05-01","559","669","449"
"USW00094823","05-02","562","672","452"
"USW00094823","05-03","565","674","455"
"USW00094823","05-04","567","677","458"
"USW00094823","05-05","570","679","461"
"USW00094823","05-06","573","682","463"
"USW00094823","05-07","575","685","466"
"USW00094823","05-08","578","687","469"
"USW00094823","05-09","581","690","472"
"USW00094823","05-10","583","692","475"
"USW00094823","05-11","586","695","478"
"USW00094823","05-12","589","697","481"
"USW00094823","05-13","592","700","483"
"USW00094823","05-14","594","702","486"
"USW00094823","05-15","597","705","489"
"USW00094823","05-16","600","707","492"
"USW00094823","05-17","603","710","495"
"USW00094823","05-18","605","713","498"
"USW00094823","05-19","608","715","501"
"USW00094823","05-20","611","718","504"
"USW00094823","05-21","614","721","507"
"USW00094823","05-22","617","723","511"
"USW00094823","05-23","620","726","514"
"USW00094823","05-24","623","729","517"
"USW00094823","05-25","626","732","520"
"USW00094823","05-26","629","734","523"
"USW00094823","05-27","632","737","526"
"USW00094823","05-28","635","740","529"
"USW00094823","05-29","638","743","533"
"USW00094823","05-30","641","746","536"
"USW00094823","05-31","644","749","539"
