"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","07-01","721","822","619"
"USW00094823","07-02","722","823","620"
"USW00094823","07-03","723","824","622"
"USW00094823","07-04","724","825","623"
"USW00094823","07-05","725","825","624"
"USW00094823","07-06","725","826","625"
"USW00094823","07-07","726","826","626"
"USW00094823","07-08","727","826","627"
"USW00094823","07-09","727","827","627"
"USW00094823","07-10","727","827","628"
"USW00094823","07-11","728","827","629"
"USW00094823","07-12","728","827","629"
"USW00094823","07-13","728","827","629"
"USW00094823","07-14","728","827","630"
"USW00094823","07-15","728","827","630"
"USW00094823","07-16","728","827","630"
"USW00094823","07-17","728","826","631"
"USW00094823","07-18","728","826","631"
"USW00094823","07-19","728","826","631"
"USW00094823","07-20","728","826","631"
"USW00094823","07-21","728","825","631"
"USW00094823","07-22","728","825","631"
"USW00094823","07-23","728","825","631"
"USW00094823","07-24","727","824","630"
"USW00094823","07-25","727","824","630"
"USW00094823","07-26","727","824","630"
"USW00094823","07-27","726","823","630"
"USW00094823","07-28","726","823","629"
"USW00094823","07-29","726","823","629"
"USW00094823","07-30","726","822","629"
"USW00094823","07-31","725","822","628"
