"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","02-01","290","366","214"
"USW00094823","02-02","291","367","215"
"USW00094823","02-03","292","369","216"
"USW00094823","02-04","293","370","217"
"USW00094823","02-05","295","372","217"
"USW00094823","02-06","296","373","218"
"USW00094823","02-07","297","375","219"
"USW00094823","02-08","299","377","220"
"USW00094823","02-09","300","379","221"
"USW00094823","02-10","302","381","222"
"USW00094823","02-11","303","383","224"
"USW00094823","02-12","305","385","225"
"USW00094823","02-13","306","387","226"
"USW00094823","02-14","308","389","227"
"USW00094823","02-15","310","392","229"
"USW00094823","02-16","312","394","230"
"USW00094823","02-17","314","397","232"
"USW00094823","02-18","316","399","233"
"USW00094823","02-19","318","402","235"
"USW00094823","02-20","321","405","237"
"USW00094823","02-21","323","407","238"
"USW00094823","02-22","325","410","240"
"USW00094823","02-23","328","413","242"
"USW00094823","02-24","330","416","244"
"USW00094823","02-25","333","420","246"
"USW00094823","02-26","336","423","248"
"USW00094823","02-27","338","426","251"
"USW00094823","02-28","341","429","253"
