"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","10-01","579","680","479"
"USW00094823","10-02","575","676","475"
"USW00094823","10-03","571","672","471"
"USW00094823","10-04","568","668","467"
"USW00094823","10-05","564","664","463"
"USW00094823","10-06","560","660","460"
"USW00094823","10-07","556","657","456"
"USW00094823","10-08","553","653","452"
"USW00094823","10-09","549","649","449"
"USW00094823","10-10","545","646","445"
"USW00094823","10-11","542","642","442"
"USW00094823","10-12","539","638","439"
"USW00094823","10-13","535","635","435"
"USW00094823","10-14","532","632","432"
"USW00094823","10-15","529","628","429"
"USW00094823","10-16","526","625","426"
"USW00094823","10-17","523","622","423"
"USW00094823","10-18","519","618","421"
"USW00094823","10-19","516","615","418"
"USW00094823","10-20","513","612","415"
"USW00094823","10-21","511","609","412"
"USW00094823","10-22","508","605","410"
"USW00094823","10-23","505","602","407"
"USW00094823","10-24","502","599","405"
"USW00094823","10-25","499","596","402"
"USW00094823","10-26","496","592","400"
"USW00094823","10-27","493","589","398"
"USW00094823","10-28","490","586","395"
"USW00094823","10-29","488","582","393"
"USW00094823","10-30","485","579","391"
"USW00094823","10-31","482","575","388"
