"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","06-01","647","752","542"
"USW00094823","06-02","650","755","545"
"USW00094823","06-03","653","758","549"
"USW00094823","06-04","656","761","552"
"USW00094823","06-05","659","764","555"
"USW00094823","06-06","662","767","558"
"USW00094823","06-07","666","770","561"
"USW00094823","06-08","669","773","564"
"USW00094823","06-09","672","776","567"
"USW00094823","06-10","675","779","570"
"USW00094823","06-11","677","781","573"
"USW00094823","06-12","680","784","576"
"USW00094823","06-13","683","787","579"
"USW00094823","06-14","686","790","582"
"USW00094823","06-15","689","792","585"
"USW00094823","06-16","691","795","588"
"USW00094823","06-17","694","797","590"
"USW00094823","06-18","696","800","593"
"USW00094823","06-19","699","802","595"
"USW00094823","06-20","701","804","598"
"USW00094823","06-21","703","807","600"
"USW00094823","06-22","706","809","603"
"USW00094823","06-23","708","811","605"
"USW00094823","06-24","710","812","607"
"USW00094823","06-25","711","814","609"
"USW00094823","06-26","713","816","611"
"USW00094823","06-27","715","817","613"
"USW00094823","06-28","716","819","614"
"USW00094823","06-29","718","820","616"
"USW00094823","06-30","719","821","618"
