"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","03-01","344","433","255"
"USW00094823","03-02","347","436","258"
"USW00094823","03-03","350","440","260"
"USW00094823","03-04","353","443","263"
"USW00094823","03-05","356","447","265"
"USW00094823","03-06","359","451","268"
"USW00094823","03-07","363","455","271"
"USW00094823","03-08","366","458","274"
"USW00094823","03-09","369","462","276"
"USW00094823","03-10","373","466","279"
"USW00094823","03-11","376","470","282"
"USW00094823","03-12","380","474","286"
"USW00094823","03-13","383","478","289"
"USW00094823","03-14","387","482","292"
"USW00094823","03-15","391","486","295"
"USW00094823","03-16","395","491","298"
"USW00094823","03-17","398","495","302"
"USW00094823","03-18","402","499","305"
"USW00094823","03-19","406","503","308"
"USW00094823","03-20","410","508","312"
"USW00094823","03-21","414","512","315"
"USW00094823","03-22","418","516","319"
"USW00094823","03-23","422","521","322"
"USW00094823","03-24","425","525","326"
"USW00094823","03-25","429","530","329"
"USW00094823","03-26","433","534","333"
"USW00094823","03-27","437","538","336"
"USW00094823","03-28","441","543","340"
"USW00094823","03-29","445","547","343"
"USW00094823","03-30","449","551","347"
"USW00094823","03-31","453","556","351"
