"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","12-01","371","443","299"
"USW00094823","12-02","367","439","295"
"USW00094823","12-03","363","435","292"
"USW00094823","12-04","360","431","288"
"USW00094823","12-05","356","427","285"
"USW00094823","12-06","352","423","281"
"USW00094823","12-07","348","419","278"
"USW00094823","12-08","345","415","275"
"USW00094823","12-09","341","412","271"
"USW00094823","12-10","338","408","268"
"USW00094823","12-11","335","405","265"
"USW00094823","12-12","332","401","262"
"USW00094823","12-13","328","398","259"
"USW00094823","12-14","325","395","256"
"USW00094823","12-15","322","392","253"
"USW00094823","12-16","320","389","250"
"USW00094823","12-17","317","387","247"
"USW00094823","12-18","314","384","244"
"USW00094823","12-19","312","382","242"
"USW00094823","12-20","309","379","239"
"USW00094823","12-21","307","377","237"
"USW00094823","12-22","305","375","235"
"USW00094823","12-23","303","373","232"
"USW00094823","12-24","301","371","230"
"USW00094823","12-25","299","369","228"
"USW00094823","12-26","297","368","226"
"USW00094823","12-27","295","366","225"
"USW00094823","12-28","294","365","223"
"USW00094823","12-29","292","363","221"
"USW00094823","12-30","291","362","220"
"USW00094823","12-31","290","361","219"
