"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","01-01","289","360","217"
"USW00094823","01-02","287","359","216"
"USW00094823","01-03","287","358","215"
"USW00094823","01-04","286","357","214"
"USW00094823","01-05","285","357","213"
"USW00094823","01-06","284","356","212"
"USW00094823","01-07","284","356","212"
"USW00094823","01-08","283","355","211"
"USW00094823","01-09","283","355","210"
"USW00094823","01-10","282","354","210"
"USW00094823","01-11","282","354","210"
"USW00094823","01-12","282","354","209"
"USW00094823","01-13","282","354","209"
"USW00094823","01-14","281","354","209"
"USW00094823","01-15","281","354","209"
"USW00094823","01-16","281","354","209"
"USW00094823","01-17","282","354","209"
"USW00094823","01-18","282","355","209"
"USW00094823","01-19","282","355","209"
"USW00094823","01-20","282","355","209"
"USW00094823","01-21","283","356","209"
"USW00094823","01-22","283","356","209"
"USW00094823","01-23","283","357","210"
"USW00094823","01-24","284","358","210"
"USW00094823","01-25","284","359","210"
"USW00094823","01-26","285","359","211"
"USW00094823","01-27","286","360","211"
"USW00094823","01-28","287","361","212"
"USW00094823","01-29","287","362","212"
"USW00094823","01-30","288","363","213"
"USW00094823","01-31","289","365","214"
