"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","08-01","725","822","628"
"USW00094823","08-02","725","822","628"
"USW00094823","08-03","724","821","627"
"USW00094823","08-04","724","821","627"
"USW00094823","08-05","723","821","626"
"USW00094823","08-06","723","821","626"
"USW00094823","08-07","723","820","625"
"USW00094823","08-08","722","820","624"
"USW00094823","08-09","722","820","624"
"USW00094823","08-10","721","819","623"
"USW00094823","08-11","721","819","622"
"USW00094823","08-12","720","819","621"
"USW00094823","08-13","719","818","621"
"USW00094823","08-14","719","818","620"
"USW00094823","08-15","718","817","619"
"USW00094823","08-16","717","817","618"
"USW00094823","08-17","716","816","617"
"USW00094823","08-18","715","815","615"
"USW00094823","08-19","714","815","614"
"USW00094823","08-20","713","814","613"
"USW00094823","08-21","712","813","611"
"USW00094823","08-22","711","812","610"
"USW00094823","08-23","709","810","608"
"USW00094823","08-24","708","809","607"
"USW00094823","08-25","706","808","605"
"USW00094823","08-26","705","806","603"
"USW00094823","08-27","703","804","601"
"USW00094823","08-28","701","802","599"
"USW00094823","08-29","699","801","597"
"USW00094823","08-30","697","798","595"
"USW00094823","08-31","694","796","592"
