"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","04-01","457","560","354"
"USW00094823","04-02","461","565","358"
"USW00094823","04-03","465","569","361"
"USW00094823","04-04","469","573","365"
"USW00094823","04-05","473","577","368"
"USW00094823","04-06","477","582","372"
"USW00094823","04-07","480","586","375"
"USW00094823","04-08","484","590","378"
"USW00094823","04-09","488","594","382"
"USW00094823","04-10","492","598","385"
"USW00094823","04-11","495","602","388"
"USW00094823","04-12","499","606","392"
"USW00094823","04-13","502","610","395"
"USW00094823","04-14","506","614","398"
"USW00094823","04-15","509","617","401"
"USW00094823","04-16","513","621","405"
"USW00094823","04-17","516","625","408"
"USW00094823","04-18","520","628","411"
"USW00094823","04-19","523","632","414"
"USW00094823","04-20","526","635","417"
"USW00094823","04-21","529","639","420"
"USW00094823","04-22","532","642","423"
"USW00094823","04-23","536","645","426"
"USW00094823","04-24","539","648","429"
"USW00094823","04-25","542","651","432"
"USW00094823","04-26","545","654","435"
"USW00094823","04-27","548","657","438"
"USW00094823","04-28","550","660","441"
"USW00094823","04-29","553","663","443"
"USW00094823","04-30","556","666","446"
