"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","05-01","545","593","497"
"USC00047767","05-02","545","593","498"
"USC00047767","05-03","546","593","498"
"USC00047767","05-04","546","593","499"
"USC00047767","05-05","546","593","500"
"USC00047767","05-06","547","593","500"
"USC00047767","05-07","547","593","501"
"USC00047767","05-08","547","593","501"
"USC00047767","05-09","547","593","502"
"USC00047767","05-10","548","593","502"
"USC00047767","05-11","548","593","503"
"USC00047767","05-12","549","594","504"
"USC00047767","05-13","549","594","504"
"USC00047767","05-14","549","594","505"
"USC00047767","05-15","550","594","505"
"USC00047767","05-16","550","594","506"
"USC00047767","05-17","550","594","506"
"USC00047767","05-18","551","595","507"
"USC00047767","05-19","551","595","508"
"USC00047767","05-20","552","595","508"
"USC00047767","05-21","552","596","509"
"USC00047767","05-22","553","596","509"
"USC00047767","05-23","553","596","510"
"USC00047767","05-24","554","597","511"
"USC00047767","05-25","554","597","511"
"USC00047767","05-26","555","598","512"
"USC00047767","05-27","555","598","513"
"USC00047767","05-28","556","598","513"
"USC00047767","05-29","556","599","514"
"USC00047767","05-30","557","599","515"
"USC00047767","05-31","558","600","515"
