"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","08-01","584","619","548"
"USC00047767","08-02","584","620","548"
"USC00047767","08-03","585","620","549"
"USC00047767","08-04","585","621","549"
"USC00047767","08-05","586","622","550"
"USC00047767","08-06","586","622","550"
"USC00047767","08-07","587","623","551"
"USC00047767","08-08","587","623","551"
"USC00047767","08-09","588","624","552"
"USC00047767","08-10","588","625","552"
"USC00047767","08-11","589","625","553"
"USC00047767","08-12","589","626","553"
"USC00047767","08-13","590","627","553"
"USC00047767","08-14","590","627","554"
"USC00047767","08-15","591","628","554"
"USC00047767","08-16","591","628","554"
"USC00047767","08-17","592","629","554"
"USC00047767","08-18","592","630","555"
"USC00047767","08-19","592","630","555"
"USC00047767","08-20","593","631","555"
"USC00047767","08-21","593","631","555"
"USC00047767","08-22","593","632","555"
"USC00047767","08-23","594","632","555"
"USC00047767","08-24","594","633","555"
"USC00047767","08-25","594","633","555"
"USC00047767","08-26","594","634","555"
"USC00047767","08-27","594","634","555"
"USC00047767","08-28","594","634","555"
"USC00047767","08-29","595","635","555"
"USC00047767","08-30","595","635","554"
"USC00047767","08-31","595","635","554"
