"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","01-01","503","559","447"
"USC00047767","01-02","503","559","447"
"USC00047767","01-03","503","559","447"
"USC00047767","01-04","503","559","447"
"USC00047767","01-05","503","560","447"
"USC00047767","01-06","503","560","447"
"USC00047767","01-07","504","560","447"
"USC00047767","01-08","504","561","447"
"USC00047767","01-09","504","561","447"
"USC00047767","01-10","504","562","447"
"USC00047767","01-11","505","562","448"
"USC00047767","01-12","505","563","448"
"USC00047767","01-13","506","563","448"
"USC00047767","01-14","506","564","448"
"USC00047767","01-15","507","564","449"
"USC00047767","01-16","507","565","449"
"USC00047767","01-17","508","566","449"
"USC00047767","01-18","508","566","450"
"USC00047767","01-19","509","567","450"
"USC00047767","01-20","509","568","451"
"USC00047767","01-21","510","569","451"
"USC00047767","01-22","510","569","452"
"USC00047767","01-23","511","570","452"
"USC00047767","01-24","512","571","453"
"USC00047767","01-25","512","572","453"
"USC00047767","01-26","513","573","454"
"USC00047767","01-27","514","573","454"
"USC00047767","01-28","515","574","455"
"USC00047767","01-29","515","575","455"
"USC00047767","01-30","516","576","456"
"USC00047767","01-31","517","577","457"
