"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","10-01","591","642","540"
"USC00047767","10-02","591","642","540"
"USC00047767","10-03","591","643","539"
"USC00047767","10-04","591","643","539"
"USC00047767","10-05","591","644","538"
"USC00047767","10-06","591","644","538"
"USC00047767","10-07","591","645","537"
"USC00047767","10-08","591","645","536"
"USC00047767","10-09","591","645","536"
"USC00047767","10-10","590","646","535"
"USC00047767","10-11","590","646","534"
"USC00047767","10-12","590","646","534"
"USC00047767","10-13","590","646","533"
"USC00047767","10-14","589","647","532"
"USC00047767","10-15","589","647","531"
"USC00047767","10-16","589","647","530"
"USC00047767","10-17","588","647","529"
"USC00047767","10-18","588","647","529"
"USC00047767","10-19","587","647","528"
"USC00047767","10-20","587","647","527"
"USC00047767","10-21","586","647","525"
"USC00047767","10-22","585","647","524"
"USC00047767","10-23","585","646","523"
"USC00047767","10-24","584","646","522"
"USC00047767","10-25","583","645","521"
"USC00047767","10-26","582","645","520"
"USC00047767","10-27","581","644","518"
"USC00047767","10-28","580","644","517"
"USC00047767","10-29","579","643","516"
"USC00047767","10-30","578","642","514"
"USC00047767","10-31","577","641","513"
