"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","02-01","517","578","457"
"USC00047767","02-02","518","578","458"
"USC00047767","02-03","519","579","458"
"USC00047767","02-04","520","580","459"
"USC00047767","02-05","520","581","460"
"USC00047767","02-06","521","582","460"
"USC00047767","02-07","522","582","461"
"USC00047767","02-08","522","583","462"
"USC00047767","02-09","523","584","462"
"USC00047767","02-10","524","584","463"
"USC00047767","02-11","524","585","463"
"USC00047767","02-12","525","586","464"
"USC00047767","02-13","525","586","465"
"USC00047767","02-14","526","587","465"
"USC00047767","02-15","527","587","466"
"USC00047767","02-16","527","588","466"
"USC00047767","02-17","527","588","467"
"USC00047767","02-18","528","589","467"
"USC00047767","02-19","528","589","468"
"USC00047767","02-20","529","589","468"
"USC00047767","02-21","529","590","469"
"USC00047767","02-22","530","590","469"
"USC00047767","02-23","530","590","469"
"USC00047767","02-24","530","590","470"
"USC00047767","02-25","530","591","470"
"USC00047767","02-26","531","591","471"
"USC00047767","02-27","531","591","471"
"USC00047767","02-28","531","591","471"
