"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","04-01","535","589","480"
"USC00047767","04-02","535","589","480"
"USC00047767","04-03","535","589","481"
"USC00047767","04-04","535","590","481"
"USC00047767","04-05","536","590","482"
"USC00047767","04-06","536","590","482"
"USC00047767","04-07","536","590","483"
"USC00047767","04-08","537","590","483"
"USC00047767","04-09","537","590","484"
"USC00047767","04-10","537","590","485"
"USC00047767","04-11","538","590","485"
"USC00047767","04-12","538","591","486"
"USC00047767","04-13","539","591","486"
"USC00047767","04-14","539","591","487"
"USC00047767","04-15","539","591","488"
"USC00047767","04-16","540","591","488"
"USC00047767","04-17","540","591","489"
"USC00047767","04-18","540","591","489"
"USC00047767","04-19","541","592","490"
"USC00047767","04-20","541","592","491"
"USC00047767","04-21","542","592","491"
"USC00047767","04-22","542","592","492"
"USC00047767","04-23","542","592","492"
"USC00047767","04-24","543","592","493"
"USC00047767","04-25","543","592","494"
"USC00047767","04-26","543","592","494"
"USC00047767","04-27","544","592","495"
"USC00047767","04-28","544","592","495"
"USC00047767","04-29","544","592","496"
"USC00047767","04-30","545","593","497"
