"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","07-01","573","613","533"
"USC00047767","07-02","574","613","534"
"USC00047767","07-03","574","614","534"
"USC00047767","07-04","574","614","535"
"USC00047767","07-05","574","614","535"
"USC00047767","07-06","575","614","535"
"USC00047767","07-07","575","614","536"
"USC00047767","07-08","575","614","536"
"USC00047767","07-09","575","614","537"
"USC00047767","07-10","576","614","537"
"USC00047767","07-11","576","614","538"
"USC00047767","07-12","576","614","538"
"USC00047767","07-13","576","614","538"
"USC00047767","07-14","577","614","539"
"USC00047767","07-15","577","614","539"
"USC00047767","07-16","577","614","540"
"USC00047767","07-17","577","614","540"
"USC00047767","07-18","578","615","541"
"USC00047767","07-19","578","615","541"
"USC00047767","07-20","578","615","542"
"USC00047767","07-21","579","615","542"
"USC00047767","07-22","579","615","543"
"USC00047767","07-23","579","616","543"
"USC00047767","07-24","580","616","544"
"USC00047767","07-25","580","616","544"
"USC00047767","07-26","581","617","545"
"USC00047767","07-27","581","617","545"
"USC00047767","07-28","582","617","546"
"USC00047767","07-29","582","618","546"
"USC00047767","07-30","583","618","547"
"USC00047767","07-31","583","619","547"
