"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","03-01","531","591","471"
"USC00047767","03-02","531","591","472"
"USC00047767","03-03","532","591","472"
"USC00047767","03-04","532","591","472"
"USC00047767","03-05","532","591","472"
"USC00047767","03-06","532","591","473"
"USC00047767","03-07","532","591","473"
"USC00047767","03-08","532","591","473"
"USC00047767","03-09","532","591","473"
"USC00047767","03-10","532","591","474"
"USC00047767","03-11","532","591","474"
"USC00047767","03-12","532","590","474"
"USC00047767","03-13","532","590","474"
"USC00047767","03-14","532","590","474"
"USC00047767","03-15","532","590","475"
"USC00047767","03-16","532","590","475"
"USC00047767","03-17","532","590","475"
"USC00047767","03-18","532","590","475"
"USC00047767","03-19","532","590","475"
"USC00047767","03-20","533","589","476"
"USC00047767","03-21","533","589","476"
"USC00047767","03-22","533","589","476"
"USC00047767","03-23","533","589","477"
"USC00047767","03-24","533","589","477"
"USC00047767","03-25","533","589","477"
"USC00047767","03-26","533","589","477"
"USC00047767","03-27","533","589","478"
"USC00047767","03-28","534","589","478"
"USC00047767","03-29","534","589","479"
"USC00047767","03-30","534","589","479"
"USC00047767","03-31","534","589","479"
