"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","06-01","558","601","516"
"USC00047767","06-02","559","601","517"
"USC00047767","06-03","559","602","517"
"USC00047767","06-04","560","602","518"
"USC00047767","06-05","561","603","519"
"USC00047767","06-06","561","603","519"
"USC00047767","06-07","562","604","520"
"USC00047767","06-08","563","605","521"
"USC00047767","06-09","563","605","521"
"USC00047767","06-10","564","606","522"
"USC00047767","06-11","564","606","523"
"USC00047767","06-12","565","607","523"
"USC00047767","06-13","566","607","524"
"USC00047767","06-14","566","608","524"
"USC00047767","06-15","567","608","525"
"USC00047767","06-16","567","609","526"
"USC00047767","06-17","568","609","526"
"USC00047767","06-18","568","610","527"
"USC00047767","06-19","569","610","527"
"USC00047767","06-20","569","611","528"
"USC00047767","06-21","570","611","528"
"USC00047767","06-22","570","611","529"
"USC00047767","06-23","571","612","530"
"USC00047767","06-24","571","612","530"
"USC00047767","06-25","571","612","531"
"USC00047767","06-26","572","612","531"
"USC00047767","06-27","572","613","531"
"USC00047767","06-28","572","613","532"
"USC00047767","06-29","573","613","532"
"USC00047767","06-30","573","613","533"
