"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","11-01","576","640","511"
"USC00047767","11-02","574","639","510"
"USC00047767","11-03","573","638","508"
"USC00047767","11-04","572","636","507"
"USC00047767","11-05","570","635","505"
"USC00047767","11-06","569","634","503"
"USC00047767","11-07","567","632","502"
"USC00047767","11-08","565","631","500"
"USC00047767","11-09","564","629","499"
"USC00047767","11-10","562","627","497"
"USC00047767","11-11","560","626","495"
"USC00047767","11-12","559","624","493"
"USC00047767","11-13","557","622","492"
"USC00047767","11-14","555","620","490"
"USC00047767","11-15","553","618","488"
"USC00047767","11-16","551","616","487"
"USC00047767","11-17","550","614","485"
"USC00047767","11-18","548","612","484"
"USC00047767","11-19","546","610","482"
"USC00047767","11-20","544","608","480"
"USC00047767","11-21","542","606","479"
"USC00047767","11-22","541","604","477"
"USC00047767","11-23","539","602","476"
"USC00047767","11-24","537","600","474"
"USC00047767","11-25","535","598","473"
"USC00047767","11-26","534","596","471"
"USC00047767","11-27","532","594","470"
"USC00047767","11-28","530","592","469"
"USC00047767","11-29","529","590","467"
"USC00047767","11-30","527","588","466"
