"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","12-01","526","586","465"
"USC00047767","12-02","524","585","464"
"USC00047767","12-03","523","583","462"
"USC00047767","12-04","521","581","461"
"USC00047767","12-05","520","579","460"
"USC00047767","12-06","519","578","459"
"USC00047767","12-07","517","576","458"
"USC00047767","12-08","516","575","457"
"USC00047767","12-09","515","573","456"
"USC00047767","12-10","514","572","456"
"USC00047767","12-11","513","571","455"
"USC00047767","12-12","512","570","454"
"USC00047767","12-13","511","568","453"
"USC00047767","12-14","510","567","453"
"USC00047767","12-15","509","566","452"
"USC00047767","12-16","508","565","451"
"USC00047767","12-17","508","564","451"
"USC00047767","12-18","507","564","450"
"USC00047767","12-19","506","563","450"
"USC00047767","12-20","506","562","449"
"USC00047767","12-21","505","562","449"
"USC00047767","12-22","505","561","449"
"USC00047767","12-23","504","561","448"
"USC00047767","12-24","504","560","448"
"USC00047767","12-25","504","560","448"
"USC00047767","12-26","504","560","448"
"USC00047767","12-27","503","559","447"
"USC00047767","12-28","503","559","447"
"USC00047767","12-29","503","559","447"
"USC00047767","12-30","503","559","447"
"USC00047767","12-31","503","559","447"
