"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","06-01","601","686","517"
"USW00024281","06-02","603","687","518"
"USW00024281","06-03","604","688","520"
"USW00024281","06-04","605","690","521"
"USW00024281","06-05","607","691","522"
"USW00024281","06-06","608","692","523"
"USW00024281","06-07","609","694","524"
"USW00024281","06-08","610","695","525"
"USW00024281","06-09","611","696","526"
"USW00024281","06-10","613","698","527"
"USW00024281","06-11","614","699","528"
"USW00024281","06-12","615","701","529"
"USW00024281","06-13","616","702","530"
"USW00024281","06-14","617","704","531"
"USW00024281","06-15","619","705","532"
"USW00024281","06-16","620","707","533"
"USW00024281","06-17","621","708","534"
"USW00024281","06-18","623","710","535"
"USW00024281","06-19","624","711","536"
"USW00024281","06-20","625","713","538"
"USW00024281","06-21","627","715","539"
"USW00024281","06-22","628","717","540"
"USW00024281","06-23","630","718","541"
"USW00024281","06-24","631","720","542"
"USW00024281","06-25","633","722","543"
"USW00024281","06-26","634","724","544"
"USW00024281","06-27","636","726","545"
"USW00024281","06-28","637","728","546"
"USW00024281","06-29","639","730","548"
"USW00024281","06-30","640","732","549"
