"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","08-01","674","772","575"
"USW00024281","08-02","674","772","575"
"USW00024281","08-03","674","772","575"
"USW00024281","08-04","673","772","575"
"USW00024281","08-05","673","771","575"
"USW00024281","08-06","673","771","575"
"USW00024281","08-07","673","771","575"
"USW00024281","08-08","672","770","575"
"USW00024281","08-09","672","769","575"
"USW00024281","08-10","672","769","574"
"USW00024281","08-11","671","768","574"
"USW00024281","08-12","670","767","574"
"USW00024281","08-13","670","767","573"
"USW00024281","08-14","669","766","573"
"USW00024281","08-15","669","765","572"
"USW00024281","08-16","668","764","572"
"USW00024281","08-17","667","763","571"
"USW00024281","08-18","666","762","571"
"USW00024281","08-19","665","761","570"
"USW00024281","08-20","664","760","569"
"USW00024281","08-21","663","759","568"
"USW00024281","08-22","662","757","568"
"USW00024281","08-23","661","756","567"
"USW00024281","08-24","660","755","566"
"USW00024281","08-25","659","754","565"
"USW00024281","08-26","658","752","564"
"USW00024281","08-27","657","751","563"
"USW00024281","08-28","656","749","562"
"USW00024281","08-29","654","748","561"
"USW00024281","08-30","653","746","560"
"USW00024281","08-31","651","745","558"
