"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","01-01","416","468","365"
"USW00024281","01-02","417","469","366"
"USW00024281","01-03","418","470","367"
"USW00024281","01-04","419","471","368"
"USW00024281","01-05","420","472","369"
"USW00024281","01-06","422","473","370"
"USW00024281","01-07","423","475","371"
"USW00024281","01-08","424","476","371"
"USW00024281","01-09","425","477","372"
"USW00024281","01-10","426","479","373"
"USW00024281","01-11","427","480","373"
"USW00024281","01-12","428","481","374"
"USW00024281","01-13","429","483","375"
"USW00024281","01-14","430","484","375"
"USW00024281","01-15","430","486","375"
"USW00024281","01-16","431","487","376"
"USW00024281","01-17","432","488","376"
"USW00024281","01-18","433","489","376"
"USW00024281","01-19","433","491","376"
"USW00024281","01-20","434","492","376"
"USW00024281","01-21","435","493","376"
"USW00024281","01-22","435","494","376"
"USW00024281","01-23","435","495","376"
"USW00024281","01-24","436","496","375"
"USW00024281","01-25","436","497","375"
"USW00024281","01-26","436","498","375"
"USW00024281","01-27","437","499","374"
"USW00024281","01-28","437","500","374"
"USW00024281","01-29","437","501","374"
"USW00024281","01-30","437","502","373"
"USW00024281","01-31","437","502","373"
