"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","09-01","650","743","557"
"USW00024281","09-02","648","741","556"
"USW00024281","09-03","647","739","554"
"USW00024281","09-04","645","738","553"
"USW00024281","09-05","644","736","551"
"USW00024281","09-06","642","734","550"
"USW00024281","09-07","640","732","548"
"USW00024281","09-08","638","730","546"
"USW00024281","09-09","636","727","545"
"USW00024281","09-10","634","725","543"
"USW00024281","09-11","632","723","541"
"USW00024281","09-12","630","720","539"
"USW00024281","09-13","627","718","537"
"USW00024281","09-14","625","715","535"
"USW00024281","09-15","623","712","533"
"USW00024281","09-16","620","710","531"
"USW00024281","09-17","618","707","529"
"USW00024281","09-18","615","704","527"
"USW00024281","09-19","613","701","525"
"USW00024281","09-20","610","698","523"
"USW00024281","09-21","607","694","521"
"USW00024281","09-22","605","691","518"
"USW00024281","09-23","602","688","516"
"USW00024281","09-24","599","684","514"
"USW00024281","09-25","596","681","512"
"USW00024281","09-26","593","677","509"
"USW00024281","09-27","591","674","507"
"USW00024281","09-28","588","670","505"
"USW00024281","09-29","585","667","503"
"USW00024281","09-30","582","663","500"
