"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","02-01","438","503","372"
"USW00024281","02-02","438","504","372"
"USW00024281","02-03","438","504","371"
"USW00024281","02-04","438","505","371"
"USW00024281","02-05","438","506","370"
"USW00024281","02-06","438","507","370"
"USW00024281","02-07","438","507","370"
"USW00024281","02-08","439","508","369"
"USW00024281","02-09","439","509","369"
"USW00024281","02-10","439","509","369"
"USW00024281","02-11","439","510","369"
"USW00024281","02-12","440","511","369"
"USW00024281","02-13","440","512","369"
"USW00024281","02-14","441","512","369"
"USW00024281","02-15","441","513","369"
"USW00024281","02-16","442","514","369"
"USW00024281","02-17","442","515","369"
"USW00024281","02-18","443","516","370"
"USW00024281","02-19","444","517","370"
"USW00024281","02-20","444","518","371"
"USW00024281","02-21","445","519","371"
"USW00024281","02-22","446","521","372"
"USW00024281","02-23","447","522","373"
"USW00024281","02-24","448","523","374"
"USW00024281","02-25","449","524","375"
"USW00024281","02-26","451","526","376"
"USW00024281","02-27","452","527","377"
"USW00024281","02-28","453","529","378"
