"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","05-01","541","627","455"
"USW00024281","05-02","543","629","457"
"USW00024281","05-03","545","632","459"
"USW00024281","05-04","548","634","462"
"USW00024281","05-05","550","636","464"
"USW00024281","05-06","552","638","466"
"USW00024281","05-07","555","640","469"
"USW00024281","05-08","557","643","471"
"USW00024281","05-09","559","645","474"
"USW00024281","05-10","561","647","476"
"USW00024281","05-11","564","649","478"
"USW00024281","05-12","566","651","481"
"USW00024281","05-13","568","653","483"
"USW00024281","05-14","570","655","485"
"USW00024281","05-15","572","657","487"
"USW00024281","05-16","574","659","490"
"USW00024281","05-17","577","661","492"
"USW00024281","05-18","579","663","494"
"USW00024281","05-19","581","665","496"
"USW00024281","05-20","582","667","498"
"USW00024281","05-21","584","669","500"
"USW00024281","05-22","586","670","502"
"USW00024281","05-23","588","672","503"
"USW00024281","05-24","590","674","505"
"USW00024281","05-25","591","675","507"
"USW00024281","05-26","593","677","509"
"USW00024281","05-27","594","679","510"
"USW00024281","05-28","596","680","512"
"USW00024281","05-29","597","681","513"
"USW00024281","05-30","599","683","515"
"USW00024281","05-31","600","684","516"
