"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","10-01","579","659","498"
"USW00024281","10-02","576","656","496"
"USW00024281","10-03","573","652","494"
"USW00024281","10-04","570","648","491"
"USW00024281","10-05","567","644","489"
"USW00024281","10-06","564","641","487"
"USW00024281","10-07","561","637","485"
"USW00024281","10-08","558","633","483"
"USW00024281","10-09","555","630","481"
"USW00024281","10-10","552","626","479"
"USW00024281","10-11","550","622","477"
"USW00024281","10-12","547","619","475"
"USW00024281","10-13","544","615","473"
"USW00024281","10-14","541","612","471"
"USW00024281","10-15","539","608","469"
"USW00024281","10-16","536","605","467"
"USW00024281","10-17","534","602","465"
"USW00024281","10-18","531","598","464"
"USW00024281","10-19","528","595","462"
"USW00024281","10-20","526","592","460"
"USW00024281","10-21","524","589","458"
"USW00024281","10-22","521","586","456"
"USW00024281","10-23","519","583","455"
"USW00024281","10-24","516","580","453"
"USW00024281","10-25","514","577","451"
"USW00024281","10-26","512","574","449"
"USW00024281","10-27","510","572","447"
"USW00024281","10-28","507","569","446"
"USW00024281","10-29","505","566","444"
"USW00024281","10-30","503","564","442"
"USW00024281","10-31","501","561","440"
