"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","12-01","429","488","371"
"USW00024281","12-02","427","486","369"
"USW00024281","12-03","425","483","368"
"USW00024281","12-04","424","481","366"
"USW00024281","12-05","422","479","364"
"USW00024281","12-06","420","478","363"
"USW00024281","12-07","419","476","362"
"USW00024281","12-08","417","474","360"
"USW00024281","12-09","416","472","359"
"USW00024281","12-10","415","471","359"
"USW00024281","12-11","414","470","358"
"USW00024281","12-12","413","468","357"
"USW00024281","12-13","412","467","356"
"USW00024281","12-14","411","466","356"
"USW00024281","12-15","410","465","356"
"USW00024281","12-16","410","464","356"
"USW00024281","12-17","410","464","355"
"USW00024281","12-18","409","463","356"
"USW00024281","12-19","409","463","356"
"USW00024281","12-20","409","462","356"
"USW00024281","12-21","409","462","356"
"USW00024281","12-22","409","462","357"
"USW00024281","12-23","410","462","357"
"USW00024281","12-24","410","462","358"
"USW00024281","12-25","411","463","359"
"USW00024281","12-26","411","463","359"
"USW00024281","12-27","412","463","360"
"USW00024281","12-28","413","464","361"
"USW00024281","12-29","413","465","362"
"USW00024281","12-30","414","466","363"
"USW00024281","12-31","415","467","364"
