"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","07-01","642","734","550"
"USW00024281","07-02","643","736","551"
"USW00024281","07-03","645","738","552"
"USW00024281","07-04","647","740","553"
"USW00024281","07-05","648","742","555"
"USW00024281","07-06","650","744","556"
"USW00024281","07-07","651","746","557"
"USW00024281","07-08","653","748","558"
"USW00024281","07-09","654","749","559"
"USW00024281","07-10","656","751","560"
"USW00024281","07-11","657","753","561"
"USW00024281","07-12","659","755","563"
"USW00024281","07-13","660","756","564"
"USW00024281","07-14","661","758","565"
"USW00024281","07-15","663","759","566"
"USW00024281","07-16","664","761","566"
"USW00024281","07-17","665","762","567"
"USW00024281","07-18","666","764","568"
"USW00024281","07-19","667","765","569"
"USW00024281","07-20","668","766","570"
"USW00024281","07-21","669","767","571"
"USW00024281","07-22","670","768","571"
"USW00024281","07-23","670","769","572"
"USW00024281","07-24","671","769","572"
"USW00024281","07-25","672","770","573"
"USW00024281","07-26","672","771","573"
"USW00024281","07-27","672","771","574"
"USW00024281","07-28","673","772","574"
"USW00024281","07-29","673","772","574"
"USW00024281","07-30","673","772","575"
"USW00024281","07-31","674","772","575"
