"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","03-01","454","530","379"
"USW00024281","03-02","456","532","380"
"USW00024281","03-03","457","533","381"
"USW00024281","03-04","459","535","383"
"USW00024281","03-05","460","536","384"
"USW00024281","03-06","462","538","385"
"USW00024281","03-07","463","540","386"
"USW00024281","03-08","464","541","388"
"USW00024281","03-09","466","543","389"
"USW00024281","03-10","467","545","390"
"USW00024281","03-11","469","546","392"
"USW00024281","03-12","470","548","393"
"USW00024281","03-13","472","550","394"
"USW00024281","03-14","473","551","396"
"USW00024281","03-15","475","553","397"
"USW00024281","03-16","476","555","398"
"USW00024281","03-17","478","556","399"
"USW00024281","03-18","479","558","400"
"USW00024281","03-19","480","559","401"
"USW00024281","03-20","482","561","402"
"USW00024281","03-21","483","562","404"
"USW00024281","03-22","484","564","405"
"USW00024281","03-23","485","565","405"
"USW00024281","03-24","487","567","406"
"USW00024281","03-25","488","568","407"
"USW00024281","03-26","489","570","408"
"USW00024281","03-27","490","571","409"
"USW00024281","03-28","491","572","410"
"USW00024281","03-29","492","574","411"
"USW00024281","03-30","493","575","411"
"USW00024281","03-31","494","576","412"
